category_href,pageNo,Armacad Link,Title,Image,Deadline,Disciplines,Eligible Countries,Host Country,Study Levels,Opportunities
/opportunities/grants,3,https://armacad.info/2018-11-30--smith-college-sophia-smith-collection-smith-college-archives-and-mortimer-rare-book-collection-research-programs-2019-usa,"Smith College Special Collections Fellowship Programs and Awards 2019, USA",https://armacad.info/images/2018/11/30/x68d5e64a1da4c0a6.png.pagespeed.ic.52hHsL6YN6.png,"
February 15, 2019 ","['culture', 'history', 'writing']",['international'],['united-states'],['research'],"['awards', 'fellowships', 'grants', 'prize']"
/opportunities/grants,3,https://armacad.info/2018-12-12--workshop-cfp-new-research-on-ancient-armenia-31-may-1-june-2019-university-of-geneva-switzerland,"Workshop/CfP - New Research on Ancient Armenia, 31 May – 1 June 2019, University of Geneva, Switzerland",https://armacad.info/images/2018/12/12/xd443037192ca1b67.png.pagespeed.ic.Wzl5LjGPvk.jpg,"
February 18, 2019 ","['armenian-studies', 'history', '3', 'middle-eastern-studies']",['international'],['switzerland'],[],"['financial-aid', 'grants', 'scholarships']"
/opportunities/grants,3,https://armacad.info/2018-11-28--austrian-university-of-applied-sciences-ernst-mach-grant-2019-20-austria,"Austrian University of Applied Sciences Ernst Mach Grant Program 2019, Austria",https://armacad.info/images/2018/11/28/x6eaa2b6f6075f692.png.pagespeed.ic.hw6q95kf39.png,"
March 01, 2019 ","['agriculture', 'health', 'medicine', 'natural-sciences', 'social-sciences', 'technology']",['international'],['austria'],[],"['grants', 'scholarships']"
/opportunities/grants,3,https://armacad.info/2018-12-17--lbj-foundation-moody-research-grant-program-2019-usa,"LBJ Foundation Moody Research Grant Program 2019, USA",https://armacad.info/images/2018/12/17/xcbf9eab895821161.png.pagespeed.ic.ev_RMSIpJB.png,"
March 15, 2019 ",[],['international'],['united-states'],['research'],['grants']
/opportunities/grants,3,https://armacad.info/2018-12-04--working-grants-for-journalists-2019-brussels-belgium,"Money Trail Working Grants for Journalists 2019, Brussels, Belgium",https://armacad.info/images/2018/12/04/xa2986e5d77750a8d.png.pagespeed.ic.FS3SOFc2y_.png,"
March 25, 2019 ","['journalism', 'media', 'social-media']",['international'],['belgium'],[],['grants']
/opportunities/grants,3,https://armacad.info/2018-11-28--david-wechsler-early-career-grant-for-innovative-work-in-cognition-2019-usa,"David Wechsler Early Career Grant Program for Innovative Work in Cognition 2019, USA",https://armacad.info/pagespeed_static/1.JiBnMqyl6S.gif,"
June 15, 2019 ","['artifical-intelligence', 'psychology']",['international'],['united-states'],[],['grants']
/opportunities/grants,3,https://armacad.info/2018-12-13--national-endowment-for-democracy-ned-grants-program-for-nongovernmental-organizations-2019,National Endowment for Democracy (NED) Grants Program for Nongovernmental Organizations 2019,https://armacad.info/images/2018/12/13/xea365244aca83a80.png.pagespeed.ic.maKAj5ewE5.png,"
June 21, 2019 ","['communication-studies', 'conflict-studies', 'democracy-studies', 'information-technology', 'international-relations', 'journalism', 'media', 'peace-studies', 'policy', 'political-sciences', 'security']",['international'],[],[],['grants']
/opportunities/grants,3,https://armacad.info/2018-03-22--granting-of-research-alowances-2018-switzerland,"Granting of Research Alowances 2018, Switzerland",https://armacad.info/images/2018/03/22/x7f2edfb072987849.jpg.pagespeed.ic.UaUlnskPcY.jpg,"
July 01, 2019 ","['anthropology', 'economics', 'finance', 'history', 'religious-studies', 'sociology']",[],['switzerland'],['research'],['grants']
/opportunities/grants,3,https://armacad.info/2018-06-08--research-stipends-from-the-fritz-thyssen-foundation-2018-germany,"Research Stipends From the Fritz Thyssen Foundation 2018, Germany",https://armacad.info/images/2018/06/08/bc12da3dd8926233.jpg,"
July 01, 2019 ","['any', 'engineering', 'humanities', 'natural-sciences', 'social-sciences']",['international'],['germany'],['doctoral'],"['grants', 'scholarships']"
/opportunities/scholarships,1,https://armacad.info/2018-11-05--kupcinet-getz-international-summer-school-2019-israel,"Kupcinet-Getz International Summer School for Undergraduate Students, 13 June - 8 August 2019, Israel",https://armacad.info/images/2018/11/05/x2fa79d46d9a08104.png.pagespeed.ic.uBJsv9c35d.png,"
December 24, 2018, 17:39 ","['chemistry', 'computer-sciences', 'life-sciences', 'mathematics', 'natural-sciences', 'physics']",['international'],['israel'],['undergraduate'],['scholarships']
/opportunities/scholarships,1,https://armacad.info/2018-05-21--global-goals-scholarship-program-2018,Global Goals Scholarship Program 2018,https://armacad.info/images/2018/05/21/2542bd05cc7780be.jpg,"
December 30, 2018 ","['ecology', 'economics', 'education', 'energy', 'environmental-studies', 'health']",['international'],[],[],['scholarships']
/opportunities/scholarships,1,https://armacad.info/university-of-queensland-graduate-school-scholarship-2018-australia,"University of Queensland Graduate School Scholarship 2018, Australia",https://armacad.info/images/2017/04/xUniversityofQueenslandGraduateSchoolScholarship2018Australia-0UIhmPJ9IFkDSDQw51kW90eaTaJRItuE.png.pagespeed.ic.Z26Xt7vEL_.png,"
December 31, 2018 ","['accounting', 'business', 'business-administration', 'chemistry', 'development-studies', 'finance', 'history', 'humanities', 'international-relations', 'law', 'physics', 'political-sciences', 'sociology']","['australia', 'new-zealand']",['australia'],"['postgraduate', 'research']",['scholarships']
/opportunities/scholarships,1,https://armacad.info/university-of-queensland-phd-scholarship-2017-australia,"University of Queensland PhD Scholarship 2017, Australia",https://armacad.info/images/2017/06/xUniversityofQueenslandPhDScholarship2017Australia-9jndSqQIyKmO0o4RVM4LdSCCmuLYL3RH.png.pagespeed.ic.2mj-eJnI-b.png,"
December 31, 2018 ",['agriculture'],['international'],['australia'],['phd'],['scholarships']
/opportunities/scholarships,1,https://armacad.info/2018-11-05--ugrad-kosovo-fully-funded-global-undergraduate-exchange-program-2019-2020-usa,"UGRAD Kosovo - Fully Funded Global Undergraduate Exchange Program 2019-2020, USA",https://armacad.info/images/2018/11/05/xde6293a145aafaeb.png.pagespeed.ic.Rl8HTrnq6U.png,"
December 31, 2018 ",['any'],['kosovo'],['united-states'],['undergraduate'],['scholarships']
/opportunities/scholarships,1,https://armacad.info/2018-11-05--fully-funded-global-ugrad-undergraduate-exchange-program-2019-2020-usa,"Fully Funded Global UGRAD Undergraduate Exchange Program 2019-2020, USA",https://armacad.info/images/2018/11/05/x9eb53980773dc3cf.png.pagespeed.ic.pMhzOXyOQf.jpg,"
December 31, 2018 ",['any'],"['albania', 'algeria', 'armenia', 'azerbaijan', 'bahrain', 'bangladesh', 'belarus', 'bosnia-and-herzegovina', 'cambodia', 'china', 'costa-rica', 'dominican-republic', 'egypt', 'el-salvador', 'ethiopia', 'georgia', 'guatemala', 'haiti', 'honduras', 'india', 'indonesia', 'israel', 'jordan', 'kazakhstan', 'kenya', 'kosovo', 'kuwait', 'montenegro', 'morocco', 'mozambique', 'myanmar-burma', 'nepal', 'nicaragua', 'niger', 'oman', 'palestine', 'panama', 'paraguay', 'phillipines', 'qatar', 'russia', 'saudi-arabia', 'serbia', 'south-korea', 'sri-lanka', 'tajikistan', 'thailand', 'tunisia', 'turkmenistan', 'ukraine', 'united-arab-emirates', 'uzbekistan', 'venezuela', 'vietnam', 'zimbabwe']",['united-states'],['undergraduate'],['scholarships']
/opportunities/scholarships,1,https://armacad.info/u-s-department-of-state--2018-11-05--ugrad-lebanon-fully-funded-global-undergraduate-exchange-program-2019-2020-usa,"UGRAD Lebanon - Fully Funded Global Undergraduate Exchange Program 2019-2020, USA",https://armacad.info/images/2018/11/05/xf181b04e3db24a35.jpg.pagespeed.ic.jEvtb8yoXJ.jpg,"
December 31, 2018 ",['any'],['lebanon'],['united-states'],['undergraduate'],['scholarships']
/opportunities/scholarships,1,https://armacad.info/2018-11-21--international-scholarship-programs-at-tsinghua-university-2019-china,"International Scholarship Programs at Tsinghua University 2019, China",https://armacad.info/images/2018/11/21/x387dbdea9a717f69.png.pagespeed.ic.Vm3tuAINiI.png,"
December 31, 2018 ","['business', 'economics', 'journalism', 'media']",['international'],['china'],['masters'],['scholarships']
/opportunities/scholarships,1,https://armacad.info/university-of-amsterdam--2018-11-22--amsterdam-university-of-applied-sciences-scholarship-program-2019-netherlands,"Amsterdam University of Applied Sciences Scholarship Program 2019, Netherlands",https://armacad.info/images/2018/11/22/x60811ede48b0815c.png.pagespeed.ic.UCaeus-sxZ.png,"
December 31, 2018 ","['education', 'natural-sciences', 'science', 'social-sciences']",['international'],['netherlands'],[],['scholarships']
/opportunities/scholarships,1,https://armacad.info/2018-11-03--the-japan-imf-scholarship-program-for-advanced-studies-jisp-2019-2021,The Japan-IMF Scholarship Program for Advanced Studies (JISP) 2019-2021,https://armacad.info/images/2018/11/03/x96096fcde57ddedd.png.pagespeed.ic.McvVnIyXlF.jpg,"
December 31, 2018 ","['economics', 'finance', 'financial-mathematics']",['japan'],['international'],['phd'],['scholarships']
/opportunities/scholarships,2,https://armacad.info/2018-11-05--the-emile-boutmy-scholarship-for-non-european-students-2019-france,"Emile-Boutmy Scholarship Program For Non-European Students 2019, France",https://armacad.info/images/2018/11/05/x11037891601d30ae.png.pagespeed.ic.uyk77GxwlL.png,"
January 03, 2019 ",['any'],['international'],['france'],"['masters', 'undergraduate']",['scholarships']
/opportunities/scholarships,2,https://armacad.info/2018-11-27--swansea-university-research-excellence-scholarships-2019-uk,"Swansea University Research Excellence Scholarships 2019, UK",https://armacad.info/images/2018/11/27/x1fd160750f6ff8c0.png.pagespeed.ic.O7xQjhE9tS.png,"
January 04, 2019 ","['arts', 'chemistry', 'economics', 'engineering', 'environmental-studies', 'geography', 'health', 'history', 'humanities', 'innovative-technologies', 'law', 'literature', 'management', 'media', 'medicine', 'physics', 'policy', 'political-sciences', 'science', 'sports', 'translation-studies']","['austria', 'belgium', 'bulgaria', 'croatia', 'cyprus', 'czech-republic', 'denmark', 'estonia', 'finland', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'latvia', 'lithuania', 'luxembourg', 'malta', 'netherlands', 'poland', 'portugal', 'romania', 'slovakia', 'slovenia', 'spain', 'sweden', 'united-kingdom']",['united-kingdom'],"['postgraduate', 'research']",['scholarships']
